Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=388.LFSI.M.I9.S.UNEHRT.TOTAL0.15_74.T
,LFSI.M.I9.S.UNEHRT.TOTAL0.15_74.T
,"Euro area 20 (fixed composition) as of 1 January 2023; European Labour Force Survey; Unemployment rate; Total; Age 15 to 74; Total; Seasonally adjusted, not working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent ]
2001Mar,8.490979,Normal value (A)
2001Feb,8.533687,Normal value (A)
2001Jan,8.571719,Normal value (A)
2000Dec,8.678063,Normal value (A)
2000Nov,8.756775,Normal value (A)
2000Oct,8.819677,Normal value (A)
2000Sep,8.928222,Normal value (A)
2000Aug,8.982112,Normal value (A)
2000Jul,9.037649,Normal value (A)
2000Jun,9.083981,Normal value (A)
2000May,9.124982,Normal value (A)
2000Apr,9.176845,Normal value (A)
2000Mar,9.260955,Normal value (A)
2000Feb,9.352057,Normal value (A)
2000Jan,9.438140,Normal value (A)
